,,,,,,,,,COMPANY SCORING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Sub Link,Company,Times scored,Link to scores,Industry,Year,Region,Phase,Score,1. Business Canvas,2. Impact,3. Product/ Market Fit,4. Markets,5. Tech/ Product,6. Financials,7. Legal,8. Team,9. Executive Summary,10. Investor Pitch,Business Canvas,BCQ1: How clearly is the value propositions understood? ,BCQ2: Do you know what segments/attributes your customers are?,BCQ3: Have you interviewed at least 5 customers? ,BCQ4: Large brackets of the BMC clearly filled and articulated?,BCQ5: Small brackets of the BMC clearly filled and articulated?,Impact Statement,"ISQ1: Company purpose directly addresses two or more of the United Nations’ Sustainable Development Goals (SDGs) — maximizing environmental, economic, and social value.",ISQ2: Clearly defined mapping of applicable SDGs against the company’s value chain,"ISQ3: Addresses if the impact priority is climate mitigation, or climate resilience + adaptation",ISQ4: Clearly addresses how the startup is better than conventional companies in their sector by some quantifiable number,ISQ5: Company culture/ What will the company do with profits,ISQ6: Is Company certified by any environmental organizations?,"ISQ7: What, if any, are existing regulations (local, state, federal, international) that have a direct impact on your license to operate? (If no applicable regulations exist, give one point for this question)","ISQ8: What, if any, are the environmental or social risks of the materials in your product/service? (e.g. toxicity, availability, recyclability, etc.) (If not applicable, give one point for this question because not a business risk)",ISQ9: What are your largest sources of energy and land use?,ISQ10: Please categorize your waste stream by percentage. ,Product-Market Fit,PMFQ1: Startup has determined a specific target market and has articulated why they are a better option than other segments,PMFQ2: Start up has identified a need the target market has that the product fills.,PMFQ3: Start up has had face to face research-focused discussions with at least 4 members of their target audience.,PMFQ4: Start up has had face to face research-focused discussions with at least 6 members of their target audience.,PMFQ5: Start up has had face to face research-focused discussions with 10 or more members of their target audience.,PMFQ6: start up updated or created customer segments based on research,PMFQ7: start up updated or created customer archetypes/personas based on research,PMFQ8: start up updated or changed their user experience based on research,"PMFQ9: based on research, did the start up clearly articulate ANYTHING they learned that changed some aspect of their strategy or product experience?","PMFQ10: Did the startup create multiple customer segments based on demographic factors (ex: age, income, etc)","PMFQ11: Did the startup create multiple customer segments based on psychological factors (ex: comfort with technology, attitudes towards cost)",PMFQ12: Did the startup identify important psychographic attributes associated with their target audience? (ex. Our target audience tends to be skeptical about tech companies),PMFQ13: Has the startup validated the size and representativeness of their target market psychographic segmentation through a statistically significant quantitative methodology?,PMFQ14: Startup has a research-validated range potential customers would be willing to pay for their product or service.,PMFQ15: Start up has implemented feedback mechanisms into their service or product experience to gather ongoing feedback from individuals who are using or who will use their product/service.,PMFQ16: Startups has embedded Net Promoter Score (NPS) into ongoing feedback.,PMFQ17: Has the startup articulated all of the stakeholders in the market they are addressing?,PMFQ18: Has the start up identified and addressed the needs of all key stakeholders?,PMFQ19: Have they identified who the purchasing decision-makers in the system are?,PMFQ20: Startup has someone dedicated to tech tools and ops.,"PMFQ21: Startup has dedicated resources, or individual on team, to user experience.",PMFQ22: Startup has worked with a user/customer research professional.,PMFQ23: Startup has a logo that is discernible when smaller than ½ an inch.,PMFQ24: Startup has a logo that is discernible when billboard size.,PMFQ25: Startup has a logo that is discernible in greyscale,"PMFQ26: Startup has a cohesive visual design system that is consistent across, e.g., email, website, and other assets.","PMFQ27: Startup has a branding professional, or has worked with one.",PMFQ28: Startup has a brand strategy based in customer insights.,PMFQ29: Has the startup completed a competitive analysis?,PMFQ30: Has the startup analyzed the reasons why customers use the competition?,PMFQ31: Has the startup identified unique value that it can deliver to customers?,PMFQ32: Has the startup identified customer experience pain-points in at least 1 major competitor's product?,PMFQ33: Has the startup identified customer experience pain-points in at least 3 major competitor's product?,PMFQ34: Has the startup validated customer experience pain-points through user research?,Markets,"MQ1: Has the startup identified the channels that its key customers frequently consume media, products, and services via? (eg. Facebook marketplace, Best Buy physical locations, word of mouth)",MQ2: Does the startup have a clear operational plan to distribute its product or service via distribution channels that customers frequently use?,"MQ3: Has the startup identified ways to leverage their advocates, customers or community to spread their product or service?",MQ4: Has the startup designed a viral marketing campaign for their product or service targeted at a specific audience?,MQ5: Has the startup created engagement mechanisms to allow for different levels of user participation?,MQ6: Has the startup generated a clear strategy to on-board new users?,MQ7: Has startup identified key barriers to customer purchases?,MQ8: Has the startup identified sales tactics to address key purchasing barriers?,MQ9: Has the startup created a customer feedback channel within the sales process?,MQ10: Has the the startup identified and prioritized the most important features to their customers for GTM rollout?,"MQ11: Has the startup created a product or service roadmap, detailing when features will roll out, and why?",MQ12: Has the startup clearly identified that they've anticipated the need to gather feedback and pivot in the future?,Tech and Product,TP1: Can you cite peer reviewed articles about your core technology?,TP2: Have you tested the technology internally?,TP3: Do you have 3rd party validation?,TP4: Are there other companies using your core technology?,TP5: How many patents have you filed (including subsequently granted)?,TP6: How many granted patents do you have?,TP7: What is your product’s DOD/DOE/Isles Utilities (used by water agencies to vet new technologies intended for use by water agencies and a requirement for consideration- LB) Technology Readiness Level?,TP8: Do you have an initial prototype?,TP9: Do you have a full scale prototype or software beta version?,"TP10: Have you identified your 3rd party validation entity (university, national lab, independent test organization, etc.)?",TP11: Do you have documentation for the cost of 3rd party validation (anticipated or paid)?,TP12: What stage is the validation?,TP13: Do you have any field installations with potential customers?,TP14: Do you have any paid field installations?,"TP15: Does your product need certification (UL, ASTM, etc.)? Score +1 if certification not needed or already obtained, +0.5 if having at least a written plan to complete it, zero if no certification or written plan",TP16: Is product ready for manufacture?,Financials,"F1: Does the company have an operating budget? If yes,","F2: Does the operating budget include revenue and expenses? If yes,","F3: Are revenue and expenses identified by source or line item? If yes,","F4: Are revenue, expense and market assumptions upon which the operating budget is based identified?",F5: If in place for more than current year does the operating budget compare actual revenue and expenses by line item against budgeted revenue and expenses by line item?,"F6: Does the operating budget include revenue, expense and market projections for the next 3, 5 or 10 years? If yes,","F7: Are revenue and expense projections identified as fixed, variable or marginal?","F8: Are revenue, expense and market assumptions upon which the operating budget projections based identified?","F9: Does the company have a capital budget? If yes,","F10: Does the capital budget include revenue and expenses by project? If yes,","F11: Are revenue and expenses by project identified by source or line item? If yes,","F12: Are the revenue, expense and market assumptions upon which the capital budget is based identified by project?",F13: If in place for more than current year does the capital budget compare by project actual revenue and expenses by line item against budgeted revenue and expenses by line item?,"F14: Does the capital budget include revenue, expense and market projections for the next 3, 5 or 10 years or for the life of each project? If yes,","F15: Are the revenue, expense and market assumptions upon which the capital budget projections based identified by project?","F16: Does the company have a monthly and annual balance sheet, profit and loss statement and cash flow statement? If yes,","F17: Are the balance sheet, profit and loss statement and cash flow statement reconciled monthly and annually to the company bank statement?","F18: Are the balance sheet, profit and loss statement and cash flow statement reconciled monthly and annually to the budget?","F19: Is return on equity* and return on assets calculated? If yes,","F20: Are 3, 5, or 10 year projections for return on equity and return on assets calculated? If yes,","F21: Are market assumptions upon which return on equity and return on assets projections based identified? If yes,",F22: Do return on equity and return on assets projections assume repayment of investor equity and return on investor equity?,F23: Does the company have prior year audited financial statements?,F24: Does the company have prior year income tax returns?,"F25: Does the company have actual sales or revenue data? If yes,","F26: Does the company compare actual sales or revenue data to industry total sales to calculate market share based on similar companies in the same industry? If yes,","F27: Does the company project sales or revenue data for the next 3, 5 or 10 years? If yes,","F28: Does the company compare projected sales or revenue data for the next 3, 5 or 10 years to industry projected total sales to calculate projected market share based on similar companies in the same industry. If yes,",F29: Does the company identify assumptions upon which projected sales or revenue data are based?,Legal,L1: Do you have an intellectual property strategy?,"L2: If yes, how many hours do you estimate that you spent developing and implementing that strategy? (1)",L3: Is there a person in your organization who is tasked with managing intellectual property?,"L4: If yes, does that person have more than 5 years experience managing intellectual property?",L5: Do you have a trademark/service mark strategy? (1),L6: How many applications for trademark registration have you filed?,L7: Have you done a clearance search to determine whether or not it is okay to use the trade or service mark you want? (1),"L8: (weight by # of marks) Provide this for every mark that you plan to apply for. If plan to apply for none, 1 pt.","L9: On a scale of 1-5, with 1 being a concise description of the goods or services you are selling and 5 being a word that has no relationship to the goods or services you are selling, how descriptive is your mark? (1-5)",L10: (weight by # marks) Provide this for every mark that you plan to apply for.,"L11: Do you plan on selling internationally? If no, 1pt. If yes, Have you applied for trademark registrations in any foreign countries? (1)",L12: Do you have a copyright strategy? (1),"L13: Does your product involve source code? If no, 1 pt. If yes, do you have written agreements with every engineer who wrote code for you that properly assign their copyrights to you? (0 or 1)","L14: Is there any open source code in your product? 1 pt if no. If yes, do you have copies of the open source license for the code? (0 or 1)","L15: If you don’t think you have open source code, have you conducted rigorous testing to confirm that there is no open source code in your product?",L16: Have you filed any copyright registrations? (1),L17: Have you registered your web site? (1),L18: Do you have good archival information so that you can prove exactly what was on your web site on any specific day in the past? (1),L19: Do you have a patent strategy? (1),L20: Have you filed any applications for patents? (1),L21: Do you know in which countries you plan to seek patent protections? (1),L22: Do you know which of your competitors is filing patent applications? (1),L23: Have you evaluated their patent portfolios? (1),L24: Have you evaluated their products? (1),L25: Do you know what technical features distinguish your product from those of your competitors? (1),L26: Do you know whether customers buy your products based on any particular technical feature that you invented? (1),"L27: Do you have a trade secret strategy? If yes, do you have one for technology or for business information? (1)",L28: Are you taking reasonable steps to ensure that your trade secrets remain secret? (1),L29: Have all of your employees signed non-disclosure and invention assignment agreements? (1),"L30: Have you identified technical information that is known to you, is not generally known or readily accessible to your competitors, and derives value from not being generally known or readily accessible? (1)","L31: Have you identified business information that is known to you, is not generally known or readily accessible to your competitors, and derives value from not being generally known or readily accessible? (1)","L32: Have you hired any people who worked for your competitors? If no, 1 pt. If yes, If yes, did you take steps to ensure that your company does not learn or use your competitor’s trade secret information? (0 or 1)","L33: Have you already filed documents establishing a legal entity for the Company (e.g. C Corp, S Corp, LLC)?","L34: If yes, list all documents related to the legal entity (e.g., articles of incorporation, bylaws, amendments; minutes of board of directors, committee and shareholders’ meetings; consents.)","L35: Has the Company signed any loan agreements, including promissory notes, financing details or lines of credit? If no, award 1 pt. If yes, provide a list of banks or other lenders with whom the Company has a financial relationship, as well as any credit agreements, debt instruments, security agreements, mortgages, collateral pledges, indentures, and financial or performance guaranties, indemnifications, liens, equipment leases or other agreements that evidence outstanding loans to which the Company is a party or was a party within the past two years. (0 or 1)","L36: Is the Company a party to any nondisclosure or noncompete agreement? If no, award 1 pt. If yes, provide a list of such agreements. (0 or 1)","L37: Has the Company signed any sales, distribution, franchise or licensing agreements? If no award 1 pt. If yes provide a list of such accords, including but not limited to distribution, sales, marketing and supply agreements; price quote, invoice, purchase or warranty forms; contracts, transcripts or letters of divestitures from any merger or acquisition within the past five years; power of attorney agreements; exclusivity agreements, franchise agreements and indemnification agreements. (0/1)","L38: Has the Company ever been involved in any past litigation? Does it face any pending litigation? If no award 1 pt. If yes provide copies of pleadings or correspondence for either past or pending lawsuits involving the Company or Founders; summary of any disputes with suppliers, competitors or customers; history of any problems with regulatory bodies such as the SEC or IRS; any harassment, wrongful termination or discrimination disputes within the past three years; correspondence with auditor or accountant regarding threatened or pending litigation, assessment or claims. Also a list of any decrees, injunctions, settlements, orders or judgments of either courts or governmental agencies. A list of settlement documentation. A list of unsatisfied judgments. (0/1)","L39: Are there any environmental regulations to which the Company must adhere? If no 1 pt. If yes provide a list including but not limited to descriptions of any environmental hazards, liabilities or contingencies; a list of any materials or processes that may negatively impact the environment; copies of notices and filings with the Environmental Protection Agency (EPA); and environmental audits, if any, for each company property. (0/1)","L40: Has the Company or its Founders ever signed any agreements with officers, advisors, employees, consultants or any third party service provider? If no 1 pt. If yes list all employment and consulting agreements, loan agreements and documents relating to other transactions with officers, directors, key employees and related parties; schedule of all compensation paid to officers, directors and key employees for most recent fiscal year showing separately salary; summary of employee benefits, any pension, profit sharing, compensation and retirement plans; summary of management incentive or bonus plans, and other non-cash forms of compensation; confidentiality agreements with employees; as well as a description of all related party transactions which have occurred during the last three years (and any currently proposed transaction). (0/1)","L41: Has the Company drafted guidelines for employees, contractors and/or other affiliated workers? Provide a copy of the employee handbook including policies on vacation, sick days, benefits, holidays, and paid leave; as well as documents on pension plan funding and distributions; and copies of all Occupational Safety and Health Administration (OSHA) examinations. (1)","L42: Does the Company own or plan to buy real or material personal property? If no award 1 pt. If yes provide a list of real and material personal property owned by the Company; documents of title, mortgages, deeds of trust and security agreements pertaining to the properties listed above; all outstanding leases with an original term greater than one year for real and personal property to which the Company is either a lessor or lessee. (0/1)","L43: Is the Company party to any insurance and/or liability agreements? If no award 1 pt. If yes provide a schedule or copies of all material insurance policies of the Company covering property, liabilities and operations, including product liabilities; a schedule of any other insurance policies in force such as ""key man"" policies or director indemnification policies; as well as all other relevant documents pertaining to the Company's insurance and liability exposure. (0/1)","L44: Is the Company party to any acquisition, partnership or joint venture agreements? If no award 1 pt. If yes provide a copy of all acquisition, partnership or joint venture agreements; documents pertaining to potential acquisitions or alliances; and any agreements regarding divestiture or assets. (0/1)","L45: Has the Company ever engaged in any marketing, promotional or public relations activities? Provide copies of any press releases during the last two years; articles and other pertinent marketing studies or reports relating to the Company or the industry; information regarding competitors; customer satisfaction surveys, if any; and current brochures and sales materials describing the Company's products and/or services. (0/1)","L46: Does the company require any special permits, licenses or authorizations to operate in any states, countries or other jurisdictions? If no, 1 pt. If yes, provide recently obtained good standing certificates for all states and jurisdictions where the Company does or plans to do business; copies of all permits and licenses necessary for operations; a summary of any inquiry during the past 3 years involving federal, state or any other governmental agency; and a summary of all federal, state and local laws, rules and regulations that apply to the Company’s main business.","L47: Are there any corporate or equity structural issues that may be a problem down the road, in particular to investors or partners? If no, 1 pt. If yes, how will you address them? (0 or 1)","L48: Has the Company ever applied for, issued or transferred securities; or signed any contracts, arrangements, documents or commitments relating to the Company’s stock? If no, 1 pt. If yes, provide a list documents that relate to the equity structure of the Company, including stock certificates, warrants and options; stockholder info and number of shares held, dates of issuance and consideration paid; employee stock benefit plans and equity agreements; any voting trust agreements, buy/sell agreements, stockholder agreements, warrant agreements, proxies, or right of first refusal agreements; any registration rights or pre‑emptive rights agreements; powers of attorney on any matter; convertible debt instruments; as well as any debt arrangements, guarantees or indemnification between officers, directors or shareholders and the Company. (0 or 1)",L49: Has the Company created a comprehensive information and data privacy policy?,"L50: If yes, provide a copy of this policy, as well as a summary of all federal, state, local and international, laws, rules and regulations applicable to the Company’s data collecting and data processing activities.","L51: Has the Company crafted a policy to keep its customers' personal data safe? Provide a copy of this policy, as well as a summary of all federal, state, local and international, laws, rules and regulations applicable to the Company’s data collecting and data processing activities. (1)","L52: Will the Company be using cookies for advertising or tracking purposes; sending direct marketing communications to people with whom it does not have a pre-existing business relationship; or processing sensitive personal data of any kind? If no, award 1 pt. If yes, does the Company have or plan to hire an Information and Privacy Officer familiar with applicable information and privacy law, including the GDPR, the California Online Privacy Protection Act and the California Consumer Privacy Act (CCPA)? (0 or 1)","L53: Has the Company signed any agreements or relationships with any subsidiaries, partnerships, or joint ventures? IF no, award 1 pt. If yes, provide a list of these accords and any related agreement. (0/1)",Team,"T1. Have any of the members been involved in previous startups? Role? (Founder, Co-founder = 5 points / ~10th employee = 3 points / after 10th employee = 1 point)",T2. How many startups have members been previously involved with? (+3 startups = 5 points / 1 to 2 startups = 3 points / none = 1 point),T3. How many successful exits have any members been involved in? (+2 startups = 5 points / 1 startups = 3 / none = 1),T4. How many years of experience in the company’s industry? (+15 years = 5 points / 5 to 14 years = 3 / 5>years = 1),"T5. What was the role / seniority in the company’s industry (CEO, C-Suite = 5 points / middle management = 3 / team member = 1)","T6. What is the breadth of the team’s capabilities in technical / engineering? (Technical, engineering operations, sales + marketing, finance = 5 points / / / technical, engineering operations = 3 / / / technical only = 1)","T7. What is the breadth of the team’s capabilities in the supply chain? (Technical, engineering operations, sales + marketing, finance = 5 / / / technical, engineering operations = 3 / / / technical only = 1)","T8. What is the breadth of the team’s capabilities in operations? (Technical, engineering operations, sales + marketing, finance = 5 / / / technical, engineering operations = 3 / / / technical only = 1)","T9. What is the breadth of the team’s capabilities in finances? (Technical, engineering operations, sales + marketing, finance = 5 / / / technical, engineering operations = 3 / / / technical only = 1)","T10. What is the breadth of the team’s capabilities in human resources? (Technical, engineering operations, sales + marketing, finance = 5 / / / technical, engineering operations = 3 / / / technical only = 1)","T11. What is the breadth of the team’s capabilities in sales / marketing? (Technical, engineering operations, sales + marketing, finance = 5 / / / technical, engineering operations = 3 / / / technical only = 1)","T12. What is the breadth of the team’s capabilities in general management? (Technical, engineering operations, sales + marketing, finance = 5 / / / technical, engineering operations = 3 / / / technical only = 1)","T13. What is the breadth of the team’s capabilities in systems / IT? (Technical, engineering operations, sales + marketing, finance = 5 / / / technical, engineering operations = 3 / / / technical only = 1)","T14. What is the breadth of the team’s functional experience? (Technical, engineering operations, sales + marketing, finance = 5 / / / technical, engineering operations = 3 / / / technical only = 1)",T15. What is the education level of the technical / engineering executives? (Ph.D = 5 / Masters = 3 / B.Sc = 1),"T16. What is the education level of management executives? (MBA, JD = 5 / BA = 3 / None = 1)",T17. What is the education level of scientific advisors? (Ph.D = 5 / Masters = 3 / B.Sc = 1),"T18. What is the education level of board members? (Ph.D, J.D, MBA = 5 / masters, technical, BA = 3 / B.Sc, technical, none = 1)",T19. What percentage of team time is spent on the startup? (>90% = 5 / 90 to 50% = 3 / <50% = 1),T20. Any personal capital directly invested? (Y = 1 / N = 0),T21. How long has the team worked together? (>3years = 5 / 1 to 3 years = 3 / <1years = 1),T22. Has the management team taken a formal assessment of the team building dynamics? (Y = 1 / N = 0),T23. Are you using the insight to actively improve the team dynamics of the founding team? (Very = 5 / somewhat = 3 / not much = 1),T24. Is there a structured approach to engaging the advisory team (Y = 1 / N = 0),"T25. What percent of advisors are actively are actively engaged with the company? (>90% = 5 / 50 to 90% = 3 / <50% = 1) (If no information, default = 1)","T26. From which ecosystems have you hired from, raised money, or completed deals? (none = 0 / 250k to 2m = 1 / 2m to 10m = 3 / 10<X = 5) (award points for each applicable category):",T26a. Angel Investors,T26b.Family Offices,T26c. VC’s,T26d. Grants/NGO’s,T26e. Strategic Investors,T27. To what extent have you hired or supervised senior subject matter / functional experts? (hired or supervised <10 people = 5 points / 2 to 10 = 3 points / 1 to 2 = 1 point,Executive Summary,ES1: Does the Company have a formal company name?,ES2: Is clear and complete contact information provided?,ES3: Does the Company have a formal company logo?,ES4: Has the Company identified a market category (or CleanTech Category),"ES5: Is a brief Company Business history (EG employees, years operational etc) provided?",ES6: Does the Company list current (senior) management skills and identify skill gaps?,ES7: Business Description: Has the company provided an easily understood (concise) overview of their vision and value proposition to defined market(s) and routes to those market(s) that is transparent to a non-expert?,ES8: Has the Company specified the initial commercial offering(s)?,ES9: Is (factual/third party/verifiable) information supporting this provided?,ES10: Is a clear description of the value chain provided that identifies (associated/involved/required) extant industry entities?,"ES11: Does the Company identify customers (IE have bought), development partners (IE Beta product test program) or LOI’s with potential customers?",ES12: Are key milestone accomplishments presented?,ES13: Does the Company describe its technology status (TRL or otherwise)?,ES14: Is an IP strategy defined?,ES15: Is how the Company’s IP supports the Value Proposition described?,"ES16: Is a clear Impact statement presented that covers Environmental, Social and Financial Impact?",ES17: Is there a description of the target market?,ES18: Are the TAM (total addressable market) evaluated and assumptions provided?,ES19: Is the SAM (serviceable available market) evaluated and assumptions provided?,ES20: Is the target market share presented (with assumptions)?,ES21: Are additional markets identified?,ES22: Are the (key) costs/challenges of entering these additional markets discussed?,ES23: Has the Company described anticipated direct and indirect competition?,ES24: Are the Company’s proposed benefits over the Competition described?,ES25: Has the Company presented its funding history?,ES26: Has the Company presented its fund raising plans (forward looking)?,ES27: Is the use of defined funds discussed?,ES28: Does the Company have a video that is current and consistent with the Overview?,ES29: Is the video available to the public?,ES30: Is there a description of the Management Team?,ES31: Is there a formal location? (E.G. HQ address).,ES32: Is the Company’s revenue history and projection(s) presented?,ES33: Is the projection consistent with SAM and target market share? (IE SAM x Market Share % = projected revenue),ES34: Is revenue for year N divided by revenue for year (N-1) a constant?,Investor Pitch,IP1: Is there an elevator pitch,IP2: Does the presentation define the business and reason for existence,IP3: Is there a visual “model” built upon in the “problem” and “solution” slides,IP4: Does the overview contain two to five high-level succinct bullets,"IP5: Is there a compelling pain point that will make a customer write a check (revenues, costs, time, productivity, market reach, etc.)?",IP6: Is it a “must-solve” not merely “nice-to-solve” problem?,IP7: Is there a visual “model” depicting the problem?,IP8: Is a historical evolution depicted?,IP9: Are meaningful validating quotes included?,IP10: Does the problem must suggest a large market?,"IP11: Is the solution a compelling value proposition clearly benefitting the customer’s business (revenues, costs, time, productivity, market, etc.)?",IP12: Is there a visual “model” depicting the solution?,IP13: Does the solution clearly in the customer’s ecosystem,IP14: Does the presentation depict differentiation and technical elegance but avoid the weeds?,IP15: Does the presentation clearly define the market,"IP16: Is there a target vertical, buyer/user, or application?",IP17: Are market size/growth presented?,IP18: Are any of the following shown: TAM/SAM/SOM/CAGR?,IP19: Are historical trends projected into the future?,IP20: Does the methodology combine quantitative rigor with qualitative sensitivity?,IP21: Is there a balance between exciting opportunity vs. chance of success?,"IP22: Does the presentation discuss current and potential competitors (Incumbents, Startups, In-House, Substitutes)?",IP23: Provide framework to demonstrate differentiation (BCG grid and/or benefits matrix)?,IP24: Use customer-centric attributes and dimensions?,"IP25: Demonstrate knowledge of the landscape, including past failures?",IP26: Embrace competitor strengths + know your weaknesses (self-awareness)?,"IP27: Highlight secret sauce, competitive advantages, barriers to entry?",IP28: Does the presentation translate key points between business and technical domain?,"IP29: Does it show how customers and partners fit in, if possible?",IP30: Remain focused on the essential value proposition?,IP31: Talk to important but peripheral issues and details while avoiding clutter?,IP32: Address “invent vs. integrate” issues?,IP33: Show that you will invent only uniquely competitive elements?,"IP34: Show incremental development path that reduces risk, if possible?",IP35: Does the presentation show how and what do customers buy?,"IP36: Discuss high level pricing (e.g., annuity or one fee)?",IP37: Describe what the customer will get (today and beyond)?,IP38: Profile the customer (vertical/buyer or user/application)?,IP39: Profile critical partner relationships (current and future)?,IP40: Show a marketing and sales plan?,IP41: Show a value chain and sales cycle?,IP42: Compare and contrast to industry comparables?,IP43: Does the presentation show credibility and strategic orchestration of team members?,IP44: Domain expertise and unique customer insight?,IP45: CEO hires people with skills better than their own?,"IP46: Show what’s missing, if applicable, or show that nothing is missing?",IP47: Show previous companies and titles (Industry recognition where meaningful)?,IP48: Board of Directors?,IP49: Thorough and thoughtful financials?,"IP50: P&L, Income Statement, Balance Sheet",IP51: Provide high level 3 or 5 year projections,IP52: Revenues and expenses by major categories,"IP53: Pre-tax profit (loss), cash flow, capital requirements, headcount",IP54: Highlight milestone targets,IP55: First revenues,IP56: Cash-flow positive,"IP57: Tangible competitive barriers (customers, IP, etc.)","IP58: $100M/yr run rate in year 5 is cliché, but expected"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVERAGE,,,,,,,,,40.66,3.01,5.78,5.68,4.17,5.00,2.50,2.72,5.37,4.74,2.72,,1.21,1.12,0.46,0.90,0.49,,1.03,0.83,0.69,0.50,0.15,0.07,0.38,0.34,0.23,0.12,,0.70,0.79,0.23,0.09,0.07,0.50,0.38,0.10,0.17,0.20,0.13,0.13,0.11,0.28,0.13,0.01,0.54,0.52,0.51,0.50,0.09,0.05,0.47,0.55,0.51,0.42,0.04,0.07,0.49,0.31,0.67,0.47,0.26,0.19,,0.59,0.65,0.38,0.09,0.12,0.35,0.23,0.15,0.17,0.36,0.30,0.22,,0.34,0.78,0.44,0.31,0.53,0.33,0.30,0.81,0.41,0.54,0.22,0.54,0.43,0.21,0.26,0.24,,0.85,0.81,0.72,0.42,0.17,0.72,0.21,0.39,0.44,0.16,0.21,0.13,0.07,0.29,0.16,0.34,0.11,0.22,0.08,0.09,0.05,0.02,0.05,0.02,0.22,0.05,0.89,0.09,0.41,,0.73,0.09,0.15,0.06,0.14,0.10,0.04,0.46,0.50,0.08,0.42,0.23,0.49,0.53,0.08,0.17,0.43,0.06,0.67,0.58,0.47,0.04,0.04,0.46,0.65,0.54,0.16,0.13,0.07,0.19,0.05,0.63,0.27,0.04,0.62,0.65,0.61,0.76,0.64,0.64,0.07,0.59,0.66,0.68,0.15,0.61,0.68,0.65,0.05,0.05,0.06,0.57,0.61,,1.27,1.04,0.62,1.31,1.30,1.47,0.82,0.96,0.75,0.53,0.71,0.99,0.76,0.99,1.13,1.01,0.89,0.56,0.95,0.55,1.05,0.06,0.39,0.15,0.53,0.13,0.33,0.03,0.02,0.03,0.11,0.18,,0.98,0.65,0.74,0.92,0.60,0.76,0.88,0.56,0.27,0.57,0.55,0.49,0.53,0.60,0.48,0.83,0.91,0.42,0.23,0.25,0.41,0.17,0.57,0.60,0.81,0.53,0.49,0.53,0.37,0.86,0.50,0.53,0.07,0.13,,0.45,0.81,0.44,0.53,0.53,0.30,0.41,0.17,0.20,0.66,0.71,0.55,0.69,0.50,0.73,0.63,0.63,0.37,0.24,0.36,0.35,0.46,0.34,0.37,0.20,0.17,0.41,0.53,0.45,0.76,0.45,0.22,0.45,0.23,0.56,0.27,0.56,0.46,0.31,0.29,0.37,0.40,0.61,0.52,0.56,0.34,0.43,0.15,0.38,0.25,0.46,0.32,0.22,0.23,0.24,0.21,0.13,0.05
